Meal,Amount,Stars (1-5),Effort (1-5),Lunch,Ingredients,Notes
Bacon ärt pasta,4,5,4,,"[Bacon = 400, Spaghetti =500]",
Burritobowl,5,4,4,,,
Butterchicken,5,2,4,,,
Curry höna,4,3,3,,,
Curry sill,4,4,4,,,
Feta spenat pasta,5,4,4,,,
Fish & Chips,2,4,2,x,,
Fiskpinnar,2,3,2,,,
Gnocchi tomat,5,4,3,,,
Hönspesto pasta,5,3,3,,,
Hotdog,2,5,1,x,,
Knackkorvssås,2,4,2,,,
Korvsoppa,5,3,4,,,
Köttbullar,2,4,2,,,
Lasagne,5,5,5,,,
Makaronilåda,6,5,5,,,
Maletköttsås,6,4,5,,,
Nudlar,2,3,3,x,,
Nuggies & Fries,2,4,1,x,,
Onsdags maletköttsås,5,5,3,,,
Pizza,4,5,5,,,
Plättar,2,5,3,x,,
Salt paj,4,4,3,,,
Sej med tomat,5,2,4,,,
Sushi,2,5,5,,,
Sushibowl,4,4,4,,,
Svamppasta,5,3,4,,,
Svamprisotto,3,5,5,,,
Tomatsoppa,4,3,5,,,
Tortilla,3,5,3,,,
Ugnsgrönsaker,4,3,3,,,
Uuni lenkki,2,5,2,,,
Zucchini pasta,6,4,4,,,
